village hut

0x4y0z oak_stairs
0x4y1z oak_stairs
0x4y2z oak_stairs
0x4y3z oak_stairs
0x4y4z oak_stairs
0x4y5z oak_stairs
1x0y1z oak_log
1x0y2z cobblestone
1x0y3z cobblestone
1x0y4z oak_log
1x0y5z oak_trapdoor
1x1y1z oak_log
1x1y2z oak_planks
1x1y3z oak_planks
1x1y4z oak_log
1x2y1z oak_log
1x2y2z oak_planks
1x2y3z oak_planks
1x2y4z oak_log
1x3y1z oak_log
1x3y2z oak_planks
1x3y3z oak_planks
1x3y4z oak_log
1x4y0z oak_stairs
1x4y1z oak_log
1x4y2z oak_log
1x4y3z oak_log
1x4y4z oak_log
1x4y5z oak_stairs
1x5y0z oak_stairs
1x5y1z oak_stairs
1x5y2z oak_stairs
1x5y3z oak_stairs
1x5y4z oak_stairs
1x5y5z oak_stairs
2x0y1z cobblestone
2x0y2z cobblestone
2x0y3z cobblestone
2x0y4z cobblestone
2x0y5z grass_block
2x1y1z oak_planks
2x1y2z oak_planks
2x1y4z oak_planks
2x1y5z poppy
2x2y1z oak_planks
2x2y2z torch
2x2y4z oak_planks
2x3y1z oak_planks
2x3y4z oak_planks
2x4y1z oak_log
2x4y4z oak_log
2x5y0z oak_stairs
2x5y1z oak_planks
2x5y4z oak_planks
2x5y5z oak_stairs
2x6y0z oak_stairs
2x6y1z oak_stairs
2x6y2z oak_stairs
2x6y3z oak_stairs
2x6y4z oak_stairs
2x6y5z oak_stairs
3x0y1z cobblestone
3x0y2z cobblestone
3x0y3z cobblestone
3x0y4z cobblestone
3x0y5z cobblestone_stairs
3x1y1z oak_planks
3x1y2z white_bed
3x1y4z oak_door
3x2y1z glass_pane
3x2y4z oak_door
3x3y1z oak_planks
3x3y4z oak_planks
3x3y5z wall_torch
3x4y1z oak_log
3x4y4z oak_log
3x5y1z oak_planks
3x5y4z oak_planks
3x6y0z oak_planks
3x6y1z oak_planks
3x6y2z oak_planks
3x6y3z oak_planks
3x6y4z oak_planks
3x6y5z oak_planks
4x0y1z cobblestone
4x0y2z cobblestone
4x0y3z cobblestone
4x0y4z cobblestone
4x0y5z grass_block
4x1y1z oak_planks
4x1y2z white_bed
4x1y4z oak_planks
4x1y5z poppy
4x2y1z oak_planks
4x2y4z oak_planks
4x3y1z oak_planks
4x3y4z oak_planks
4x4y1z oak_log
4x4y4z oak_log
4x5y0z oak_stairs
4x5y1z oak_planks
4x5y4z oak_planks
4x5y5z oak_stairs
4x6y0z oak_stairs
4x6y1z oak_stairs
4x6y2z oak_stairs
4x6y3z oak_stairs
4x6y4z oak_stairs
4x6y5z oak_stairs
5x0y1z oak_log
5x0y2z cobblestone
5x0y3z mossy_cobblestone
5x0y4z oak_log
5x0y5z oak_trapdoor
5x1y1z oak_log
5x1y2z oak_planks
5x1y3z oak_planks
5x1y4z oak_log
5x2y1z oak_log
5x2y2z oak_planks
5x2y3z oak_planks
5x2y4z oak_log
5x3y1z oak_log
5x3y2z oak_planks
5x3y3z oak_planks
5x3y4z oak_log
5x4y0z oak_stairs
5x4y1z oak_log
5x4y2z oak_log
5x4y3z oak_log
5x4y4z oak_log
5x4y5z oak_stairs
5x5y0z oak_stairs
5x5y1z oak_stairs
5x5y2z oak_stairs
5x5y3z oak_stairs
5x5y4z oak_stairs
5x5y5z oak_stairs
6x4y0z oak_stairs
6x4y1z oak_stairs
6x4y2z oak_stairs
6x4y3z oak_stairs
6x4y4z oak_stairs
6x4y5z oak_stairs
