village farm

0x0y1z cobblestone
0x0y2z oak_planks
0x0y3z oak_planks
0x0y4z oak_planks
0x0y5z mossy_cobblestone
0x1y1z white_terracotta
0x1y2z yellow_bed
0x1y3z yellow_bed
0x1y5z white_terracotta
0x2y1z white_terracotta
0x2y5z white_terracotta
0x3y1z white_terracotta
0x3y5z white_terracotta
0x4y0z oak_planks
0x4y1z oak_planks
0x4y5z oak_planks
0x4y6z oak_planks
0x5y1z oak_planks
0x5y2z oak_planks
0x5y3z oak_planks
0x5y4z oak_planks
0x5y5z oak_planks
0x6y2z oak_planks
0x6y3z oak_planks
0x6y4z oak_planks
1x0y1z stripped_oak_log
1x0y2z cobblestone
1x0y3z cobblestone
1x0y4z cobblestone
1x0y5z stripped_oak_log
1x1y1z stripped_oak_log
1x1y2z white_terracotta
1x1y3z white_terracotta
1x1y4z white_terracotta
1x1y5z stripped_oak_log
1x2y1z stripped_oak_log
1x2y2z white_terracotta
1x2y3z glass_pane
1x2y4z white_terracotta
1x2y5z stripped_oak_log
1x3y1z stripped_oak_log
1x3y2z white_terracotta
1x3y3z white_terracotta
1x3y4z white_terracotta
1x3y5z stripped_oak_log
1x4y0z oak_planks
1x4y1z oak_planks
1x4y2z oak_planks
1x4y3z oak_planks
1x4y4z oak_planks
1x4y5z oak_planks
1x4y6z oak_planks
1x5y1z oak_planks
1x5y2z oak_planks
1x5y3z oak_planks
1x5y4z oak_planks
1x5y5z oak_planks
2x4y0z oak_planks
2x4y1z oak_planks
2x4y2z oak_planks
2x4y3z oak_planks
2x4y4z oak_planks
2x4y5z oak_planks
2x4y6z oak_planks
