oak tree

0x2y1z oak_leaves
0x2y2z oak_leaves
0x2y3z oak_leaves
0x2y4z oak_leaves
0x3y0z oak_leaves
0x3y1z oak_leaves
0x3y2z oak_leaves
0x3y3z oak_leaves
0x3y4z oak_leaves
1x2y0z oak_leaves
1x2y1z oak_leaves
1x2y2z oak_leaves
1x2y3z oak_leaves
1x2y4z oak_leaves
1x3y0z oak_leaves
1x3y1z oak_leaves
1x3y2z oak_leaves
1x3y3z oak_leaves
1x3y4z oak_leaves
1x4y2z oak_leaves
1x5y2z oak_leaves
2x0y2z oak_log
2x1y2z oak_log
2x2y0z oak_leaves
2x2y1z oak_leaves
2x2y2z oak_log
2x2y3z oak_leaves
2x2y4z oak_leaves
2x3y0z oak_leaves
2x3y1z oak_leaves
2x3y2z oak_log
2x3y3z oak_leaves
2x3y4z oak_leaves
2x4y1z oak_leaves
2x4y2z oak_log
2x4y3z oak_leaves
2x5y1z oak_leaves
2x5y2z oak_leaves
2x5y3z oak_leaves
3x2y0z oak_leaves
3x2y1z oak_leaves
3x2y2z oak_leaves
3x2y3z oak_leaves
3x2y4z oak_leaves
3x3y0z oak_leaves
3x3y1z oak_leaves
3x3y2z oak_leaves
3x3y3z oak_leaves
3x3y4z oak_leaves
3x4y1z oak_leaves
3x4y2z oak_leaves
3x4y3z oak_leaves
3x5y2z oak_leaves
4x2y1z oak_leaves
4x2y2z oak_leaves
4x2y3z oak_leaves
4x3y1z oak_leaves
4x3y2z oak_leaves
4x3y3z oak_leaves
